Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
MNSO,2021-01-07 14:51:00,29.0,28.61,28.19,28.19,28.19,83,35.0,65
MNSO,2021-01-07 14:52:00,29.0,28.61,28.13,28.13,28.13,28,35.0,65
MNSO,2021-01-07 14:53:00,29.0,28.61,28.09,28.09,28.09,111,35.0,65
MNSO,2021-01-07 14:54:00,29.0,28.61,28.14,28.14,28.14,27,35.0,65
MNSO,2021-01-07 14:55:00,29.0,28.61,28.15,28.15,28.15,40,35.0,65
MNSO,2021-01-07 14:56:00,29.0,28.61,28.07,28.07,28.07,31,35.0,65
MNSO,2021-01-07 14:57:00,29.0,28.61,28.03,28.03,28.03,139,35.0,65
MNSO,2021-01-07 14:58:00,29.0,28.61,28.18,28.18,28.18,23,35.0,65
MNSO,2021-01-07 14:59:00,29.0,28.61,28.12,28.12,28.12,4,35.0,65
MNSO,2021-01-07 15:00:00,29.0,28.61,28.04,28.04,28.04,29,35.0,65
MNSO,2021-01-07 15:01:00,29.0,28.61,28.21,28.21,28.21,3,35.0,65
MNSO,2021-01-07 15:02:00,29.0,28.61,28.13,28.13,28.13,170,35.0,65
MNSO,2021-01-07 15:03:00,29.0,28.61,28.18,28.18,28.18,37,35.0,65
MNSO,2021-01-07 15:04:00,29.0,28.61,28.23,28.23,28.23,8,35.0,65
MNSO,2021-01-07 15:05:00,29.0,28.61,28.34,28.34,28.34,1,35.0,65
MNSO,2021-01-07 15:06:00,29.0,28.61,28.32,28.32,28.32,16,35.0,65
MNSO,2021-01-07 15:07:00,29.0,28.61,28.26,28.26,28.26,1,35.0,65
MNSO,2021-01-07 15:08:00,29.0,28.61,28.27,28.27,28.27,1,35.0,65
MNSO,2021-01-07 15:09:00,29.0,28.61,28.2,28.2,28.2,191,35.0,65
MNSO,2021-01-07 15:10:00,29.0,28.61,28.12,28.12,28.12,21,35.0,65
MNSO,2021-01-07 15:11:00,29.0,28.61,27.96,27.96,27.96,89,35.0,65
MNSO,2021-01-07 15:12:00,29.0,28.61,27.92,27.92,27.92,25,35.0,65
MNSO,2021-01-07 15:13:00,29.0,28.61,28.02,28.02,28.02,35,35.0,65
MNSO,2021-01-07 15:14:00,29.0,28.61,28.14,28.14,28.14,,35.0,65
MNSO,2021-01-07 15:15:00,29.0,28.61,28.02,28.02,28.02,38,35.0,65
MNSO,2021-01-07 15:16:00,29.0,28.61,27.97,27.97,27.97,13,35.0,65
MNSO,2021-01-07 15:17:00,29.0,28.61,27.96,27.96,27.96,8,35.0,65
MNSO,2021-01-07 15:18:00,29.0,28.61,28.01,28.01,28.01,28,35.0,65
MNSO,2021-01-07 15:19:00,29.0,28.61,28.06,28.06,28.06,17,35.0,65
MNSO,2021-01-07 15:20:00,29.0,28.61,28.02,28.02,28.02,21,35.0,65
MNSO,2021-01-07 15:21:00,29.0,28.61,28.02,28.02,28.02,1,35.0,65
MNSO,2021-01-07 15:22:00,29.0,28.61,28.11,28.11,28.11,5,35.0,65
MNSO,2021-01-07 15:23:00,29.0,28.61,27.89,27.89,27.89,74,35.0,65
MNSO,2021-01-07 15:24:00,29.0,28.61,27.95,27.95,27.95,19,35.0,65
MNSO,2021-01-07 15:25:00,29.0,28.61,28.0,28.0,28.0,29,35.0,65
MNSO,2021-01-07 15:26:00,29.0,28.61,28.08,28.08,28.08,3,35.0,65
MNSO,2021-01-07 15:27:00,29.0,28.61,28.11,28.11,28.11,34,35.0,65
MNSO,2021-01-07 15:28:00,29.0,28.61,28.09,28.09,28.09,13,35.0,65
MNSO,2021-01-07 15:29:00,29.0,28.61,27.98,27.98,27.98,71,35.0,65
MNSO,2021-01-07 15:30:00,29.0,28.61,27.81,27.81,27.81,,35.0,65
MNSO,2021-01-07 15:31:00,29.0,28.61,27.91,27.91,27.91,45,35.0,65
MNSO,2021-01-07 15:32:00,29.0,28.61,27.97,27.97,27.97,15,35.0,65
MNSO,2021-01-07 15:33:00,29.0,28.61,27.89,27.89,27.89,6,35.0,65
MNSO,2021-01-07 15:34:00,29.0,28.61,28.0,28.0,28.0,16,35.0,65
MNSO,2021-01-07 15:35:00,29.0,28.61,27.97,27.97,27.97,9,35.0,65
MNSO,2021-01-07 15:36:00,29.0,28.61,28.0,28.0,28.0,18,35.0,65
MNSO,2021-01-07 15:37:00,29.0,28.61,28.08,28.08,28.08,38,35.0,65
MNSO,2021-01-07 15:38:00,29.0,28.61,28.09,28.09,28.09,56,35.0,65
MNSO,2021-01-07 15:39:00,29.0,28.61,28.07,28.07,28.07,3,35.0,65
MNSO,2021-01-07 15:40:00,29.0,28.61,28.11,28.11,28.11,66,35.0,65
MNSO,2021-01-07 15:41:00,29.0,28.61,28.05,28.05,28.05,22,35.0,65
MNSO,2021-01-07 15:42:00,29.0,28.61,28.1,28.1,28.1,110,35.0,65
MNSO,2021-01-07 15:43:00,29.0,28.61,28.22,28.22,28.22,20,35.0,65
MNSO,2021-01-07 15:44:00,29.0,28.61,28.33,28.33,28.33,27,35.0,65
MNSO,2021-01-07 15:45:00,29.0,28.61,28.36,28.36,28.36,24,35.0,65
MNSO,2021-01-07 15:46:00,29.0,28.61,28.31,28.31,28.31,18,35.0,65
MNSO,2021-01-07 15:47:00,29.0,28.61,28.35,28.35,28.35,26,35.0,65
MNSO,2021-01-07 15:48:00,29.0,28.61,28.44,28.44,28.44,19,35.0,65
MNSO,2021-01-07 15:49:00,29.0,28.61,28.43,28.43,28.43,21,35.0,65
MNSO,2021-01-07 15:50:00,29.0,28.61,28.46,28.46,28.46,9,35.0,65
MNSO,2021-01-07 15:51:00,29.0,28.61,28.36,28.36,28.36,39,35.0,65
MNSO,2021-01-07 15:52:00,29.0,28.61,28.24,28.24,28.24,58,35.0,65
MNSO,2021-01-07 15:53:00,29.0,28.61,28.18,28.18,28.18,54,35.0,65
MNSO,2021-01-07 15:54:00,29.0,28.61,28.27,28.27,28.27,23,35.0,65
MNSO,2021-01-07 15:55:00,29.0,28.61,28.33,28.33,28.33,17,35.0,65
MNSO,2021-01-07 15:56:00,29.0,28.61,28.24,28.24,28.24,16,35.0,65
MNSO,2021-01-07 15:57:00,29.0,28.61,28.21,28.21,28.21,29,35.0,65
MNSO,2021-01-07 15:58:00,29.0,28.61,28.28,28.28,28.28,23,35.0,65
MNSO,2021-01-07 15:59:00,29.0,28.61,28.26,28.26,28.26,20,35.0,65
MNSO,2021-01-07 16:00:00,29.0,28.61,28.28,28.28,28.28,51,35.0,65
MNSO,2021-01-07 16:01:00,29.0,28.61,28.32,28.32,28.32,33,35.0,65
MNSO,2021-01-07 16:02:00,29.0,28.61,28.34,28.34,28.34,36,35.0,65
MNSO,2021-01-07 16:03:00,29.0,28.61,28.34,28.34,28.34,18,35.0,65
MNSO,2021-01-07 16:04:00,29.0,28.61,28.37,28.37,28.37,8,35.0,65
