Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
CZR,SMART,USD,6,0,4,2,0,4,66.67
RFL,SMART,USD,3,2,0,0,1,2,66.67
VSAT,SMART,USD,3,2,0,0,1,2,66.67
VOXX,SMART,USD,3,2,0,1,0,2,66.67
WERN,SMART,USD,3,2,0,1,0,2,66.67
CAMP,SMART,USD,3,2,0,1,0,2,66.67
BPOP,SMART,USD,3,2,0,1,0,2,66.67
MSFT,SMART,USD,3,2,0,1,0,2,66.67
OPEN,SMART,USD,3,2,0,1,0,2,66.67
NTLA,SMART,USD,3,2,0,1,0,2,66.67
WAB,SMART,USD,3,1,1,0,1,2,66.67
BUSE,SMART,USD,3,1,1,0,1,2,66.67
SYF,SMART,USD,3,1,1,0,1,2,66.67
MELI,SMART,USD,3,1,1,0,1,2,66.67
STRL,SMART,USD,3,1,1,1,0,2,66.67
NCLH,SMART,USD,3,1,1,1,0,2,66.67
CTAS,SMART,USD,3,1,1,1,0,2,66.67
ENLC,SMART,USD,3,1,1,1,0,2,66.67
AAWW,SMART,USD,3,1,1,1,0,2,66.67
RY,SMART,USD,3,1,1,1,0,2,66.67
VREX,SMART,USD,3,1,1,1,0,2,66.67
TT,SMART,USD,3,1,1,1,0,2,66.67
AR,SMART,USD,3,1,1,1,0,2,66.67
CPE,SMART,USD,3,1,1,1,0,2,66.67
NOVT,SMART,USD,3,1,1,1,0,2,66.67
ERF,SMART,USD,3,1,1,1,0,2,66.67
CSIQ,SMART,USD,3,1,1,1,0,2,66.67
AMD,SMART,USD,3,1,1,1,0,2,66.67
VMC,SMART,USD,3,1,1,1,0,2,66.67
AIMC,SMART,USD,3,1,1,1,0,2,66.67
SPGI,SMART,USD,3,1,1,1,0,2,66.67
QNST,SMART,USD,3,1,1,1,0,2,66.67
TBK,SMART,USD,3,1,1,1,0,2,66.67
HUBS,SMART,USD,3,1,1,1,0,2,66.67
STL,SMART,USD,3,1,1,1,0,2,66.67
HXL,SMART,USD,3,1,1,1,0,2,66.67
ORA,SMART,USD,3,1,1,1,0,2,66.67
VXRT,SMART,USD,3,1,1,1,0,2,66.67
WOW,SMART,USD,3,1,1,1,0,2,66.67
ACB,SMART,USD,3,1,1,1,0,2,66.67
PCTY,SMART,USD,3,1,1,1,0,2,66.67
NEP,SMART,USD,3,1,1,1,0,2,66.67
SOI,SMART,USD,3,1,1,1,0,2,66.67
GPC,SMART,USD,3,1,1,1,0,2,66.67
JBL,SMART,USD,3,1,1,1,0,2,66.67
